log,label
Session: 30546354_3276819604 initialized by client WindowsUpdateAgent.,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
connection from 221.4.102.93 () at Thu Jul  7 23:09:50 2005,Normal Activity
jk2_init() Found child 6293 in scoreboard slot 6,Normal Activity
Failed password for root from 183.62.140.253 port 37080 ssh2,Brute Force Attack
error: Received disconnect from 195.154.37.122: 3: com.jcraft.jsch.JSchException: Auth fail [preauth],Brute Force Attack
virus scan detected malicious executable,Malware Activity
jk2_init() Found child 2836 in scoreboard slot 9,Normal Activity
Session: 30546174_99402692 initialized by client WindowsUpdateAgent.,Normal Activity
unauthorized privilege escalation detected for user guest,Privilege Escalation
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
"Read out cached package applicability for package: Package_for_KB3097989~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.76.59.29  user=root,Brute Force Attack
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Brute Force Attack
suspicious malware process detected,Malware Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
session closed for user news,Brute Force Attack
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul 17 15:09:17 2005,Normal Activity
jk2_init() Found child 308 in scoreboard slot 8,Normal Activity
user unknown gained administrative privileges,Privilege Escalation
Invalid user admin from 185.190.58.151,Brute Force Attack
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
Failed password for root from 112.95.230.3 port 40388 ssh2,Brute Force Attack
Failed password for root from 183.62.140.253 port 50545 ssh2,Brute Force Attack
connection from 203.101.45.59 (dsl-Chn-static-059.45.101.203.touchtelindia.net) at Sun Jul  3 10:05:25 2005,Normal Activity
session closed for user news,Brute Force Attack
error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],Brute Force Attack
Connection closed by 5.188.10.180 [preauth],Brute Force Attack
connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,Normal Activity
Failed password for root from 183.62.140.253 port 54137 ssh2,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=203.251.225.101  user=root,Brute Force Attack
unauthorized privilege escalation detected for user user1,Privilege Escalation
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Session: 30546174_108613219 initialized by client WindowsUpdateAgent.,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
connection from 84.102.20.2 () at Sun Jul 24 02:38:22 2005,Brute Force Attack
jk2_init() Found child 4594 in scoreboard slot 6,Normal Activity
user user1 gained administrative privileges,Privilege Escalation
connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,Suspicious Activity
Failed password for root from 183.62.140.253 port 33150 ssh2,Brute Force Attack
jk2_init() Found child 32450 in scoreboard slot 10,Normal Activity
session closed for user news,Brute Force Attack
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
mod_jk child workerEnv in error state 9,Suspicious Activity
jk2_init() Found child 1933 in scoreboard slot 6,Normal Activity
connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
trojan activity detected on host,Malware Activity
Invalid user admin from 5.188.10.180,Brute Force Attack
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
sudo access used by unauthorized account unknown,Privilege Escalation
virus scan detected malicious executable,Malware Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Found child 4986 in scoreboard slot 8,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Failed password for root from 183.62.140.253 port 46008 ssh2,Brute Force Attack
[client 125.30.38.52] Directory index forbidden by rule: /var/www/html/,Suspicious Activity
jk2_init() Found child 5002 in scoreboard slot 8,Normal Activity
Bringing up loopback interface:  succeeded,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
sudo access used by unauthorized account root,Privilege Escalation
mod_jk child workerEnv in error state 8,Suspicious Activity
administrative privilege escalation detected,Privilege Escalation
mod_jk child workerEnv in error state 6,Suspicious Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212.0.132.20  user=test,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
"Read out cached package applicability for package: Package_for_KB2685813~31bf3856ad364e35~amd64~~6.1.1.11, ApplicableState: 112, CurrentState:112",Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2547666~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
suspicious malware process detected,Malware Activity
connection from 208.62.55.75 () at Wed Jun 29 10:48:12 2005,Normal Activity
sudo access used by unauthorized account user1,Privilege Escalation
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=troi.bluesky-technologies.com  user=root,Brute Force Attack
Session: 30546354_3351293864 initialized by client WindowsUpdateAgent.,Normal Activity
Received disconnect from 123.235.32.19: 11: Bye Bye [preauth],Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=210.76.59.29  user=root,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2978742~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
suspicious malware process detected,Malware Activity
"Read out cached package applicability for package: Package_for_KB2491683~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
jk2_init() Found child 2083 in scoreboard slot 8,Normal Activity
Session: 30546354_3292510501 initialized by client WindowsUpdateAgent.,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
"Read out cached package applicability for package: Package_for_KB3075220~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 80, CurrentState:0",Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root,Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
session opened for user news by (uid=0),Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Failed password for invalid user eoor from 187.141.143.180 port 45825 ssh2,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Can't find child 2082 in scoreboard,Suspicious Activity
"Read out cached package applicability for package: Package_for_KB2937610~31bf3856ad364e35~amd64~~6.1.1.3, ApplicableState: 112, CurrentState:112",Normal Activity
mod_jk child workerEnv in error state 8,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
session closed for user news,Normal Activity
root privileges obtained by user root,Privilege Escalation
Invalid user postgres1 from 187.141.143.180,Brute Force Attack
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Brute Force Attack
Session: 30546174_88462066 initialized by client WindowsUpdateAgent.,Normal Activity
connection from 216.12.111.241 () at Thu Jul 21 09:04:41 2005,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Failed password for root from 183.62.140.253 port 34091 ssh2,Brute Force Attack
malware activity detected in system file,Malware Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180,Brute Force Attack
connection from 206.47.209.10 () at Mon Jul 25 06:39:18 2005,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
"Read out cached package applicability for package: Package_for_KB2736422~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
Failed password for root from 183.62.140.253 port 46059 ssh2,Brute Force Attack
Failed password for root from 183.62.140.253 port 47653 ssh2,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Failed password for root from 183.62.140.253 port 41156 ssh2,Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
suspicious malware process detected,Malware Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,Normal Activity
Failed password for root from 183.62.140.253 port 58882 ssh2,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2506928~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112",Normal Activity
session closed for user test,Brute Force Attack
Failed password for root from 183.62.140.253 port 37270 ssh2,Brute Force Attack
administrative privilege escalation detected,Privilege Escalation
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,Normal Activity
jk2_init() Found child 6718 in scoreboard slot 8,Normal Activity
Failed password for root from 183.62.140.253 port 55557 ssh2,Brute Force Attack
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Found child 5435 in scoreboard slot 7,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
jk2_init() Found child 32674 in scoreboard slot 8,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
input_userauth_request: invalid user oracle [preauth],Brute Force Attack
connection from 211.72.2.106 () at Tue Jul  5 13:52:21 2005,Normal Activity
connection from 216.12.111.241 () at Thu Jul 21 09:04:41 2005,Normal Activity
"Read out cached package applicability for package: Package_for_KB2923545~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,Normal Activity
Failed password for root from 183.62.140.253 port 35353 ssh2,Brute Force Attack
virus scan detected malicious executable,Malware Activity
Session: 30546354_3228966867 initialized by client WindowsUpdateAgent.,Normal Activity
Failed password for invalid user  0101 from 5.188.10.180 port 36279 ssh2,Brute Force Attack
Did not receive identification string from 103.207.39.212,Brute Force Attack
Invalid user admin from 103.99.0.122,Brute Force Attack
connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005,Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,Normal Activity
check pass; user unknown,Brute Force Attack
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
root privileges obtained by user user1,Privilege Escalation
Invalid user magnos from 187.141.143.180,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
mod_jk child workerEnv in error state 7,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Brute Force Attack
Session: 30546354_2902428190 initialized by client WindowsUpdateAgent.,Normal Activity
connection from 217.187.83.50 () at Mon Jul 25 23:24:09 2005,Normal Activity
connection from 63.197.98.106 (adsl-63-197-98-106.dsl.mtry01.pacbell.net) at Mon Jul  4 12:52:44 2005,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3182203~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
CPU: L2 cache: 256K,Normal Activity
Session: 30546174_177417154 initialized by client WindowsUpdateAgent.,Normal Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,Suspicious Activity
root privileges obtained by user admin,Privilege Escalation
jk2_init() Found child 32443 in scoreboard slot 8,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
Failed password for invalid user admin from 185.190.58.151 port 44155 ssh2,Brute Force Attack
virus scan detected malicious executable,Malware Activity
unauthorized privilege escalation detected for user unknown,Privilege Escalation
Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],Normal Activity
sudo access used by unauthorized account user1,Privilege Escalation
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
Session: 30546354_3309061448 initialized by client WindowsUpdateAgent.,Normal Activity
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Session: 30546173_4286503818 initialized by client WindowsUpdateAgent.,Normal Activity
jk2_init() Found child 6791 in scoreboard slot 8,Normal Activity
administrative privilege escalation detected,Privilege Escalation
sudo access used by unauthorized account root,Privilege Escalation
Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
malware signature detected by security scanner,Malware Activity
Invalid user magnos from 187.141.143.180,Brute Force Attack
connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,Normal Activity
jk2_init() Found child 6054 in scoreboard slot 9,Normal Activity
jk2_init() Found child 1276 in scoreboard slot 9,Normal Activity
Session: 30546354_3193214822 initialized by client WindowsUpdateAgent.,Normal Activity
connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,Normal Activity
Failed password for root from 187.141.143.180 port 42938 ssh2,Brute Force Attack
Failed password for invalid user admin from 5.188.10.180 port 56345 ssh2,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
Failed password for invalid user admin from 185.190.58.151 port 44155 ssh2,Brute Force Attack
session opened for user news by (uid=0),Brute Force Attack
Session: 30546354_3045146353 initialized by client WindowsUpdateAgent.,Normal Activity
user unknown executed sudo command with elevated privileges,Privilege Escalation
Failed password for root from 183.62.140.253 port 38647 ssh2,Brute Force Attack
connection from 220.94.205.45 () at Sun Jul 10 13:17:22 2005,Normal Activity
Session: 30546354_3070417798 initialized by client WindowsUpdateAgent.,Normal Activity
Failed password for root from 187.141.143.180 port 55849 ssh2,Brute Force Attack
input_userauth_request: invalid user admin [preauth],Brute Force Attack
check pass; user unknown,Brute Force Attack
connection from 202.82.200.188 () at Thu Jul  7 16:33:52 2005,Normal Activity
session closed for user cyrus,Brute Force Attack
connection from 208.62.55.75 () at Wed Jun 29 10:48:17 2005,Suspicious Activity
Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],Brute Force Attack
jk2_init() Found child 5387 in scoreboard slot 6,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
jk2_init() Found child 6041 in scoreboard slot 6,Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
"Read out cached package applicability for package: Package_for_KB2545698~31bf3856ad364e35~amd64~~6.1.1.3, ApplicableState: 112, CurrentState:112",Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
"Read out cached package applicability for package: Package_for_KB2862335~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: 112, CurrentState:112",Normal Activity
sudo access used by unauthorized account unknown,Privilege Escalation
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB3175024~31bf3856ad364e35~amd64~~6.1.2.0, ApplicableState: 112, CurrentState:112",Normal Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
mod_jk child workerEnv in error state 7,Suspicious Activity
malicious file detected on system,Malware Activity
Linux Plug and Play Support v0.97 (c) Adam Belay,Normal Activity
Failed password for root from 183.62.140.253 port 43391 ssh2,Brute Force Attack
jk2_init() Found child 6741 in scoreboard slot 9,Normal Activity
reverse mapping checking getaddrinfo for 195-154-37-122.rev.poneytelecom.eu [195.154.37.122] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
isapnp: No Plug & Play device found,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.137.205.253  user=root,Brute Force Attack
Failed none for invalid user 0 from 5.188.10.180 port 49811 ssh2,Brute Force Attack
Failed password for root from 187.141.143.180 port 46973 ssh2,Brute Force Attack
connection from 211.167.68.59 () at Sat Jul  9 12:16:49 2005,Normal Activity
Invalid user 0 from 5.188.10.180,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
Session: 30546174_88482067 initialized by client WindowsUpdateAgent.,Normal Activity
"Read out cached package applicability for package: Package_for_KB3179573~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
"0000000d Creating NT transaction (seq 2), objectname [6]""(null)""",Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
jk2_init() Found child 1394 in scoreboard slot 9,Normal Activity
connection from 211.107.232.1 () at Fri Jul 15 23:42:43 2005,Normal Activity
connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,Normal Activity
pam_unix(sshd:auth): check pass; user unknown,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122  user=root,Brute Force Attack
Failed password for root from 123.235.32.19 port 57100 ssh2,Normal Activity
connection from 217.187.83.139 () at Sun Jul 10 03:55:15 2005,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
session closed for user test,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
"Read out cached package applicability for package: Microsoft-Windows-RDP-BlueIP-Package-TopLevel~31bf3856ad364e35~amd64~~7.2.7601.16415, ApplicableState: 112, CurrentState:112",Normal Activity
session opened for user cyrus by (uid=0),Normal Activity
Session: 30546354_2985172923 initialized by client WindowsUpdateAgent.,Normal Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
sudo access used by unauthorized account user1,Privilege Escalation
Session: 30546174_20328169 initialized by client WindowsUpdateAgent.,Normal Activity
Unknown process communicating with external server,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
mod_jk child workerEnv in error state 7,Suspicious Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,Brute Force Attack
administrative privilege escalation detected,Privilege Escalation
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
jk2_init() Found child 4962 in scoreboard slot 7,Normal Activity
Failed password for root from 183.62.140.253 port 40862 ssh2,Brute Force Attack
syslogd startup succeeded,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202.181.236.180  user=root,Brute Force Attack
"Read out cached package applicability for package: Package_for_KB2511455~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
Initializing Cryptographic API,Normal Activity
Invalid user deploy from 187.141.143.180,Brute Force Attack
user root executed sudo command with elevated privileges,Privilege Escalation
connection from 212.65.68.82 () at Sat Jul 16 08:14:07 2005,Normal Activity
check pass; user unknown,Brute Force Attack
jk2_init() Found child 4998 in scoreboard slot 8,Normal Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=112.95.230.3  user=root,Brute Force Attack
suspicious malware process detected,Malware Activity
Failed password for invalid user admin from 5.188.10.180 port 60682 ssh2,Brute Force Attack
Warning: Unrecognized packageExtended attribute.,Normal Activity
connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,Normal Activity
user admin executed sudo command with elevated privileges,Privilege Escalation
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
Received disconnect from 202.100.179.208: 11: Bye Bye [preauth],Brute Force Attack
0000000a CSI Store 17159600 (0x000000000105d5b0) initialized,Normal Activity
jk2_init() Found child 32447 in scoreboard slot 7,Normal Activity
0MB HIGHMEM available.,Normal Activity
getpeername (ftpd): Transport endpoint is not connected,Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
user guest attempted unauthorized root access,Privilege Escalation
Warning: Unrecognized packageExtended attribute.,Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
session opened for user news by (uid=0),Brute Force Attack
Session: 30546174_27818598 initialized by client WindowsUpdateAgent.,Normal Activity
root privileges obtained by user admin,Privilege Escalation
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.16.122.48  user=root,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,Brute Force Attack
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,Brute Force Attack
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
user admin gained administrative privileges,Privilege Escalation
Session: 30546354_2955431222 initialized by client WindowsUpdateAgent.,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Brute Force Attack
mod_jk child workerEnv in error state 7,Suspicious Activity
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
connection from 217.187.83.139 () at Sun Jul 10 03:55:15 2005,Normal Activity
Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],Brute Force Attack
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Brute Force Attack
00000008@2016/9/28:16:00:46.635 PopulateComponentFamiliesKey - Begin,Normal Activity
"Read out cached package applicability for package: Package_for_KB3075222~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 80, CurrentState:0",Normal Activity
jk2_init() Found child 5917 in scoreboard slot 8,Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=202.181.236.180  user=root,Brute Force Attack
connection from 84.102.20.2 () at Sun Jul 24 02:38:22 2005,Normal Activity
root privileges obtained by user guest,Privilege Escalation
Failed password for root from 183.62.140.253 port 48252 ssh2,Brute Force Attack
malicious payload detected on system,Malware Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=203.251.225.101  user=root,Brute Force Attack
mod_jk child workerEnv in error state 6,Suspicious Activity
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180,Brute Force Attack
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122  user=ftp,Brute Force Attack
Session: 30546174_138284916 initialized by client WindowsUpdateAgent.,Normal Activity
"Read out cached package applicability for package: Package_for_KB2654428~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
"Read out cached package applicability for package: Package_for_KB2973112~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: 112, CurrentState:112",Normal Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
Session: 30546173_4294174257 initialized by client WindowsUpdateAgent.,Normal Activity
check pass; user unknown,Brute Force Attack
elevated privileges granted to unauthorized user root,Privilege Escalation
"Read out cached package applicability for package: Package_for_KB2631813~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
Warning: Unrecognized packageExtended attribute.,Normal Activity
Failed password for root from 183.62.140.253 port 49096 ssh2,Brute Force Attack
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
jk2_init() Found child 1297 in scoreboard slot 7,Normal Activity
connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,Normal Activity
"Read out cached package applicability for package: Package_for_KB2884256~31bf3856ad364e35~amd64~~6.1.1.1, ApplicableState: 112, CurrentState:112",Normal Activity
Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],Normal Activity
authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c51471f2c.cable.wanadoo.nl  user=root,Brute Force Attack
PCI: Probing PCI hardware,Normal Activity
suspicious malware process detected,Malware Activity
mod_jk child workerEnv in error state 6,Suspicious Activity
administrative privilege escalation detected,Privilege Escalation
Invalid user cheng from 202.100.179.208,Brute Force Attack
sudo access used by unauthorized account guest,Privilege Escalation
Session: 30546174_176877123 initialized by client WindowsUpdateAgent.,Normal Activity
elevated privileges granted to unauthorized user guest,Privilege Escalation
Session: 30546354_3190684677 initialized by client WindowsUpdateAgent.,Normal Activity
Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Brute Force Attack
user guest gained administrative privileges,Privilege Escalation
user root attempted unauthorized root access,Privilege Escalation
workerEnv.init() ok /etc/httpd/conf/workers2.properties,Normal Activity
